"","ResponseId","co1","co2","co3an","co3bn","co3abn","co4","co5","co6","co7_1","co7_2","co7_3","co8","bs1","bs2","bs3","traust1","traust2","traust3_1","traust3_2","traust3_3","traust3_4","traust3_5","traust3_6","traust3_7","traust3_8","traust3_9","traust4","traust5","heilsa1","heilsa2","heilsa3","heilsa4","heilsa5","heilsa6","heilsa7","br1","br2","br3","br4","br5_1","br5_2","br5_3","br5_4","af1_1","af1_2","af1_3","af1_4","af1_5","af1_6","af1_7","af1_8","af1_9","af2_1","af2_2","af2_3","af2_4","af2_5","af2_6","vh","kyn","aldur4","aldur6","aldur7","buseta","buseta4","menntun3","menntun4","menntun5","stada4","stada","atvinna4","atvinna","hjuskapur4","born","einstaklingstekjur5","einstaklingstekjur6","heimilistekjur5","heimilistekjur6","kos6","Vigt"
"116","R_3JeJGPzZQ7mY6MJ        ","Ekki miklar","Nei","Enga","Enga","Enga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Frekar miklu leyti","Mjög eða frekar líklegt","Já, líklega","Já, tvímælalaust","Já, tvímælalaust","Hvorki ánægð(ur) né óánægð(ur)","Hvorki ánægð(ur) né óánægð(ur)","Hvorki vel né illa","Frekar vel","Frekar vel","Mjög illa","Mjög illa","Frekar illa","Frekar illa","Hvorki vel né illa","Frekar illa","Já, 3 sinnum í viku eða oftar","Já, 3 sinnum í viku eða oftar","Góða","Já","Góða","Nei",NA,"Nei",NA,"Hvorki mikil né lítil",NA,NA,NA,"Frekar ósammála","Frekar ósammála","Mjög ósammála","Hvorki sammála né ósammála","Hvorki miklar né litlar","Mjög litlar eða engar","Hvorki miklar né litlar","Mjög litlar eða engar","Hvorki miklar né litlar","Frekar litlar","Mjög litlar eða engar","Hvorki miklar né litlar","Hvorki miklar né litlar","Mjög ósammála","Frekar sammála","Frekar sammála","Frekar sammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","8","Karl","60 ára og eldri","66 ára eða eldri","66-75 ára","Höfuðborgarsvæði","Reykjavík","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Á eftirlaunum",NA,NA,"Í hjónabandi/staðfestri samvist","Engin börn á heimilinu","501-700 þús. kr.","501-700 þús. kr.","901-1300 þús. kr.","901-1100 þús. kr.","Miðflokkinn",1.72656126290985
"117","R_egnfB54Og8NYioF        ","Ekki miklar","Já, hvað?","Enga","1-2 einstaklinga","1-2 einstaklinga","Já, stundum eða sjaldan","Nei","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, líklega","Já, líklega","Hvorki né","Frekar ánægð(ur)","Frekar ánægð(ur)","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Hvorki vel né illa","Frekar vel","Frekar vel","Hvorki vel né illa","Já, 1-2 sinnum í viku","Já, 1-2 sinnum í viku","Góða","Nei","Góða","Nei",NA,NA,NA,"Hvorki mikil né lítil","Nei","Um það bil jafn mikið",NA,"Frekar sammála",NA,"Mjög ósammála","Mjög ósammála","Hvorki miklar né litlar","Mjög litlar eða engar","Mjög litlar eða engar","Mjög litlar eða engar","Frekar litlar","Frekar miklar","Frekar miklar","Frekar litlar","Frekar litlar","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Frekar sammála","Frekar sammála","Frekar sammála","5","Karl","60 ára og eldri","66 ára eða eldri","66-75 ára","Höfuðborgarsvæði","Reykjavík","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Bændur, fiskimenn, véla- og verkafólk","Ósérhæft starfsfólk","Í hjónabandi/staðfestri samvist","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","601-900 þús. kr.","601-900 þús. kr.","Vinstrihreyfinguna - grænt framboð",1.72656126290985
"118","R_z2m6RaYqLWuReiB        ","Frekar eða mjög miklar","Já, hvað?","Enga","Enga","Enga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Öllu eða nær öllu leyti","Frekar miklu leyti","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, tvímælalaust","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Mjög vel","Frekar vel","Frekar vel","Mjög vel","Mjög vel","Já, 3 sinnum í viku eða oftar","Já, 1-2 sinnum í viku","Góða","Já","Sæmilega","Já","Svipað og vanalega","Já","Minni en vanalega","Frekar lítil",NA,NA,NA,"Frekar sammála","Mjög ósammála","Mjög ósammála","Hvorki sammála né ósammála","Frekar miklar","Mjög litlar eða engar","Mjög litlar eða engar","Frekar miklar","Hvorki miklar né litlar","Frekar litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","4","Karl","60 ára og eldri","66 ára eða eldri","66-75 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Á eftirlaunum",NA,NA,"Í hjónabandi/staðfestri samvist","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.",NA,NA,"Vinstrihreyfinguna - grænt framboð",1.72656126290985
"119","R_10ZtTV1zCuuLdD6        ","Frekar eða mjög miklar","Já, hvað?","Enga","Enga","Enga","Já, nokkuð oft/nær allan tímann","Nei","Já, ég hef farið í sýnatöku hjá Landspítala eða heilsugæslu","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Hvorki né","Hvorki né","Frekar ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel",NA,NA,NA,NA,NA,"Frekar illa","Já, 1-2 sinnum í viku","Já, 1-2 sinnum í viku","Sæmilega","Já","Sæmilega","Nei",NA,"Já","Minni en vanalega","Mjög mikil","Já, vinnutími var skorinn niður án þess að hlutabótaleið komi á móti","Miklu minna",NA,"Frekar sammála","Frekar ósammála","Mjög ósammála","Mjög sammála","Frekar miklar","Mjög litlar eða engar","Hvorki miklar né litlar","Hvorki miklar né litlar","Mjög miklar","Hvorki miklar né litlar",NA,"Frekar litlar",NA,"Frekar sammála","Hvorki sammála né ósammála","Mjög sammála","Mjög sammála","Mjög sammála",NA,"4","Kona","18-29 ára","26-35 ára","26-35 ára","Landsbyggð","Landsbyggðin","Framhaldsskólamenntun","Bóklegt nám á framhaldsskólastigi","Bóklegt nám á framhaldsskólastigi","Í námi","Í námi",NA,NA,"Einhleyp(ur)","Engin börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,1.62643187333942
"120","R_1DGxW0NIn4NFfcA        ","Frekar eða mjög miklar","Já, hvað?","Fleiri en 10 manns","3-10 manns","Fleiri en 10 manns","Já, nokkuð oft/nær allan tímann","Já, í sjálfskipaðri sóttkví","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Frekar miklu leyti eða minna","Öllu eða mjög miklu leyti","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Mjög vel","Frekar vel","Frekar vel","Hvorki vel né illa","Já, 1-2 sinnum í viku","Já, 3 sinnum í viku eða oftar","Sæmilega","Já","Góða","Já","Svipað og vanalega","Nei",NA,"Frekar mikil","Nei","Miklu meira","Hvorki mikil né lítil","Mjög sammála","Frekar ósammála","Mjög ósammála","Mjög sammála","Frekar miklar","Frekar litlar","Hvorki miklar né litlar","Mjög litlar eða engar","Frekar miklar","Hvorki miklar né litlar","Frekar miklar","Frekar litlar","Frekar litlar","Mjög sammála","Mjög sammála","Frekar sammála","Hvorki sammála né ósammála","Frekar sammála","Hvorki sammála né ósammála","5","Kona","30-44 ára","26-35 ára","26-35 ára","Landsbyggð","Landsbyggðin","Framhaldsskólamenntun","Bóklegt nám á framhaldsskólastigi","Bóklegt nám á framhaldsskólastigi","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Þjónustu-, umönnunar-, sölu- og afgreiðslufólk","Í hjónabandi/staðfestri samvist","Börn á heimilinu","501-700 þús. kr.","501-700 þús. kr.","901-1300 þús. kr.","901-1100 þús. kr.","Framsóknarflokkinn",1.62643187333942
"121","R_2vZkdfkAhPbekNv        ","Ekki miklar","Nei","3-10 manns","Enga","3-10 manns","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Já, ég hef farið í sýnatöku hjá Íslenskri erfðagreiningu","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, líklega","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Frekar vel","Mjög vel","Mjög vel","Hvorki vel né illa","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Hvorki vel né illa","Öðru hvoru","Öðru hvoru","Góða","Já","Góða","Nei",NA,"Já","Svipuð og vanalega","Frekar mikil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið",NA,NA,"Frekar sammála","Mjög ósammála","Frekar ósammála","Frekar sammála","Frekar litlar","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar miklar","Hvorki miklar né litlar","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála",NA,"Kona","30-44 ára","26-35 ára","26-35 ára","Landsbyggð","Landsbyggðin","Framhaldsskólamenntun","Verklegt nám á framhaldsskólastigi","Verklegt nám á framhaldsskólastigi","Í launuðu starfi","Í launuðu starfi","Iðnaðarmenn, tæknar og sérmenntað starfsfólk","Iðnaðarmenn og sérhæft iðnverkafólk","Í sambúð","Engin börn á heimilinu","701-900 þús. kr.","701-900 þús. kr.","Hærri en 1300 þús. kr.","1101-1500 þús. kr.",NA,1.62643187333942
"122","R_PBPfORXPlg6gvq9        ","Ekki miklar","Nei",NA,NA,NA,"Já, stundum eða sjaldan","Nei","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, tvímælalaust","Frekar ánægð(ur)","Frekar ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Já, 3 sinnum í viku eða oftar","Já, 3 sinnum í viku eða oftar","Mjög góða",NA,"Góða","Já","Mun meira en vanalega","Já","Mun meiri en vanalega","Hvorki mikil né lítil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið","Miklu minna",NA,"Hvorki sammála né ósammála",NA,"Mjög ósammála","Mjög sammála",NA,"Mjög miklar","Mjög miklar","Mjög miklar","Mjög miklar","Mjög miklar","Mjög miklar","Mjög miklar","Mjög miklar","Mjög sammála","Mjög sammála","Mjög sammála","Mjög sammála","Mjög sammála","Mjög sammála","10 - Hægri","Kona","18-29 ára","26-35 ára","26-35 ára","Landsbyggð","Landsbyggðin","Framhaldsskólamenntun","Bóklegt nám á framhaldsskólastigi","Bóklegt nám á framhaldsskólastigi","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Þjónustu-, umönnunar-, sölu- og afgreiðslufólk","Í sambúð","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","601-900 þús. kr.","601-900 þús. kr.","Vinstrihreyfinguna - grænt framboð",1.62643187333942
"123","R_u47KZ4a3FOaaHVD        ","Ekki miklar","Já, hvað?","1-2 einstaklinga","Enga","1-2 einstaklinga","Já, nokkuð oft/nær allan tímann","Nei","Nei, ég hef ekki farið í sýnatöku","Mjög miklu leyti","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Hvorki né","Mjög ánægð(ur)","Frekar ánægð(ur)","Frekar vel","Frekar vel","Frekar vel","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Frekar vel","Hvorki vel né illa","Hvorki vel né illa","Já, 1-2 sinnum í viku","Já, 1-2 sinnum í viku","Góða","Nei","Góða","Nei",NA,"Já","Minni en vanalega","Frekar mikil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið",NA,"Mjög lítil eða engin","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Frekar sammála","Frekar litlar","Mjög litlar eða engar","Hvorki miklar né litlar","Mjög litlar eða engar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar litlar","Mjög litlar eða engar","Frekar ósammála","Frekar ósammála","Frekar ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","8","Kona","30-44 ára","26-35 ára","26-35 ára","Landsbyggð","Landsbyggðin","Framhaldsskólamenntun","Bóklegt nám á framhaldsskólastigi","Bóklegt nám á framhaldsskólastigi","Í launuðu starfi","Í launuðu starfi","Iðnaðarmenn, tæknar og sérmenntað starfsfólk","Tæknar og sérmenntað starfsfólk","Í sambúð","Börn á heimilinu",NA,NA,NA,NA,NA,1.62643187333942
"124","R_xtnWBnZylf9AhTb        ","Frekar eða mjög miklar","Já, hvað?","3-10 manns","1-2 einstaklinga","3-10 manns","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Frekar vel","Mjög vel","Frekar vel","Hvorki vel né illa","Öðru hvoru","Öðru hvoru","Mjög góða","Nei","Mjög góða","Já","Minna en vanalega","Já","Minni en vanalega","Frekar mikil",NA,NA,NA,"Hvorki sammála né ósammála","Hvorki sammála né ósammála","Mjög ósammála","Hvorki sammála né ósammála","Hvorki miklar né litlar","Mjög litlar eða engar",NA,"Hvorki miklar né litlar","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar litlar","Hvorki miklar né litlar","Frekar sammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála",NA,"Kona","18-29 ára","26-35 ára","26-35 ára","Landsbyggð","Landsbyggðin","Framhaldsskólamenntun","Verklegt nám á framhaldsskólastigi","Verklegt nám á framhaldsskólastigi","Í námi","Í námi",NA,NA,"Einhleyp(ur)","Börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,1.62643187333942
"125","R_1GPM2TIibWalZmc        ","Frekar eða mjög miklar","Já, hvað?","Enga","1-2 einstaklinga","1-2 einstaklinga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Hvorki né","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Hvorki vel né illa","Já, 1-2 sinnum í viku","Já, 3 sinnum í viku eða oftar","Mjög góða","Já","Góða","Nei",NA,"Já","Svipuð og vanalega","Frekar mikil",NA,NA,NA,"Mjög sammála","Mjög ósammála","Hvorki sammála né ósammála","Mjög sammála","Frekar miklar","Hvorki miklar né litlar","Frekar miklar","Hvorki miklar né litlar","Frekar miklar","Frekar litlar","Frekar miklar","Frekar miklar","Frekar miklar","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Frekar sammála","Mjög sammála","Mjög sammála","Frekar sammála","3","Karl","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Reykjavík","Háskólamenntun","Háskólanám","Grunnnám í háskóla","Í námi","Í námi",NA,NA,"Einhleyp(ur)","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","401-600 þús. kr.","401-600 þús. kr.","Samfylkinguna",1.61924877497483
"126","R_3KPDSSRAjtPTC2b        ","Ekki miklar","Nei","Enga","Enga","Enga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Já í formlegri sóttkví eða einangrun","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Frekar vel","Mjög vel","Frekar vel","Frekar illa","Öðru hvoru","Já, 1-2 sinnum í viku","Mjög góða","Nei","Mjög góða","Nei",NA,"Nei",NA,"Frekar mikil",NA,NA,NA,"Frekar ósammála","Frekar ósammála","Frekar ósammála","Frekar ósammála","Mjög litlar eða engar",NA,"Mjög litlar eða engar","Mjög litlar eða engar","Hvorki miklar né litlar","Frekar litlar","Frekar miklar","Frekar miklar","Mjög litlar eða engar","Frekar ósammála","Mjög ósammála","Mjög ósammála","Mjög ósammála","Mjög ósammála","Mjög ósammála","5","Karl","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Háskólamenntun","Háskólanám","Grunnnám í háskóla","Í námi","Í námi",NA,NA,"Einhleyp(ur)","Börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","401-600 þús. kr.","401-600 þús. kr.",NA,1.61924877497483
"127","R_10JIpLvJTfXtVP3        ","Ekki miklar","Já, hvað?","3-10 manns","Enga","3-10 manns","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Mjög miklu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Hvorki vel né illa","Frekar vel","Hvorki vel né illa","Hvorki vel né illa","Já, 3 sinnum í viku eða oftar","Já, 3 sinnum í viku eða oftar","Sæmilega","Nei","Góða","Já","Svipað og vanalega","Já","Minni en vanalega","Frekar mikil",NA,NA,NA,"Mjög sammála",NA,"Mjög ósammála","Mjög sammála","Frekar litlar",NA,"Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar litlar","Frekar litlar","Mjög miklar","Frekar miklar","Frekar litlar","Frekar sammála","Mjög ósammála","Mjög ósammála","Frekar ósammála","Frekar ósammála","Frekar sammála",NA,"Kona","60 ára og eldri","56-65 ára","56-65 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Öryrki",NA,NA,"Í hjónabandi/staðfestri samvist","Engin börn á heimilinu",NA,NA,NA,NA,NA,1.60018764672371
"128","R_2DLJ6Bqc6OpLzQP        ","Ekki miklar","Nei","Fleiri en 10 manns","Enga","Fleiri en 10 manns","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Öllu eða nær öllu leyti","Öllu eða mjög miklu leyti","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, tvímælalaust","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel",NA,"Mjög vel","Mjög vel","Öðru hvoru","Öðru hvoru","Lélega","Nei","Lélega","Nei",NA,"Nei",NA,"Frekar lítil",NA,NA,NA,"Frekar ósammála",NA,"Mjög ósammála","Frekar ósammála","Hvorki miklar né litlar",NA,"Mjög litlar eða engar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar sammála","Frekar sammála","Frekar sammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála",NA,"Kona","60 ára og eldri","56-65 ára","56-65 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Öryrki",NA,NA,"Í hjónabandi/staðfestri samvist","Engin börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","401-600 þús. kr.","401-600 þús. kr.",NA,1.60018764672371
"129","R_2QQl0gjUHiLZgCi        ","Frekar eða mjög miklar","Já, hvað?","1-2 einstaklinga","Enga","1-2 einstaklinga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Öllu eða nær öllu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Mjög vel","Frekar vel","Frekar vel","Frekar vel","Já, 1-2 sinnum í viku","Já, 1-2 sinnum í viku","Sæmilega","Já","Góða","Nei",NA,"Já","Svipuð og vanalega","Mjög mikil",NA,NA,NA,"Mjög sammála","Mjög ósammála","Mjög ósammála","Mjög sammála","Mjög miklar",NA,"Frekar litlar","Mjög miklar","Hvorki miklar né litlar","Frekar miklar","Frekar miklar","Mjög litlar eða engar","Hvorki miklar né litlar","Mjög sammála","Hvorki sammála né ósammála","Mjög sammála","Mjög sammála","Hvorki sammála né ósammála","Mjög sammála","5","Kona","45-59 ára","56-65 ára","56-65 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Öryrki",NA,NA,"Í hjónabandi/staðfestri samvist","Börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,1.60018764672371
"130","R_2uICosCByKEel5D        ","Frekar eða mjög miklar","Nei","Enga","Enga","Enga","Já, stundum eða sjaldan","Nei","Já, ég hef farið í sýnatöku hjá Landspítala eða heilsugæslu","Mjög miklu leyti","Mjög miklu leyti","Frekar miklu leyti","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, tvímælalaust","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Já, 1-2 sinnum í viku","Já, 3 sinnum í viku eða oftar","Góða","Já","Góða","Nei",NA,"Já","Svipuð og vanalega","Frekar lítil","Nei","Um það bil jafn mikið",NA,"Frekar sammála",NA,NA,"Mjög sammála","Frekar miklar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","5","Kona","60 ára og eldri","56-65 ára","56-65 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Stjórnendur og sérfræðingar","Stjórnendur, kjörnir fulltrúar og æðstu embættismenn","Í hjónabandi/staðfestri samvist","Engin börn á heimilinu",NA,NA,NA,NA,"Vinstrihreyfinguna - grænt framboð",1.60018764672371
"131","R_3COh2KDM9gKuuzS        ","Frekar eða mjög miklar","Nei","3-10 manns","Enga","3-10 manns","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Já, ég hef farið í sýnatöku hjá Íslenskri erfðagreiningu","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Já, 3 sinnum í viku eða oftar","Já, 3 sinnum í viku eða oftar","Sæmilega","Já","Sæmilega","Nei",NA,"Nei",NA,"Frekar mikil",NA,NA,NA,"Mjög sammála","Frekar sammála","Hvorki sammála né ósammála","Frekar sammála",NA,NA,NA,"Frekar litlar","Frekar miklar","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála",NA,"Kona","45-59 ára","56-65 ára","56-65 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Öryrki",NA,NA,"Í hjónabandi/staðfestri samvist","Engin börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","601-900 þús. kr.","601-900 þús. kr.",NA,1.60018764672371
"132","R_3Jq34OsUMKIKcqY        ","Ekki miklar","Já, hvað?","Enga","Enga","Enga","Já, stundum eða sjaldan","Nei","Já, ég hef farið í sýnatöku hjá Íslenskri erfðagreiningu","Mjög miklu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, líklega","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Frekar illa","Hvorki vel né illa","Frekar illa","Já, 3 sinnum í viku eða oftar","Já, 1-2 sinnum í viku","Mjög góða","Nei","Mjög góða","Nei",NA,"Já","Minni en vanalega","Frekar lítil","Nei","Um það bil jafn mikið",NA,"Frekar sammála","Frekar ósammála","Frekar ósammála","Frekar ósammála","Frekar miklar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar litlar","Hvorki sammála né ósammála","Frekar sammála","Frekar sammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","7","Kona","60 ára og eldri","56-65 ára","56-65 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Bændur, fiskimenn, véla- og verkafólk","Bændur og fiskimenn","Í hjónabandi/staðfestri samvist","Engin börn á heimilinu","Hærri en 900 þús. kr.","901-1100 þús. kr.","901-1300 þús. kr.","901-1100 þús. kr.","Sjálfstæðisflokkinn",1.60018764672371
