"","gender","age","elecdist","polintr","pltrust","govprfmBB","prtfvote16"
"32","Karl",20,2,"Lítinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"33","Kona",20,5,"Engan áhuga",NA,"Frekar vel","Kaus ekki"
"34","Karl",46,6,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"35","Karl",52,4,"Nokkurn áhuga",NA,"Mjög illa",NA
"36","Kona",56,1,"Lítinn áhuga","Sumum",NA,"Vinstrihreyfingin grænt framboð"
"37","Karl",21,5,"Nokkurn áhuga",NA,"Frekar vel","Píratar"
"38","Karl",35,7,"Engan áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"39","Karl",35,5,"Mjög mikinn áhuga","Sumum",NA,"Sjálfstæðisflokkurinn"
"40","Kona",34,6,"Nokkurn áhuga"," Mörgum","Frekar vel","Viðreisn"
"41","Kona",20,7,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"42","Kona",58,7,"Lítinn áhuga",NA,"Frekar vel",NA
"43","Karl",22,5,"Nokkurn áhuga","Sumum","Frekar illa","Björt framtíð"
"44","Kona",46,7,"Engan áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"45","Karl",82,7,"Lítinn áhuga","Yfirleitt","Frekar vel",NA
"46","Karl",67,NA,"Lítinn áhuga",NA,NA,"Kaus ekki"
"47","Kona",18,4,"Lítinn áhuga","Fáum","Frekar vel",NA
"48","Karl",33,6,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"49","Kona",23,1,"Lítinn áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"50","Kona",27,5,"Lítinn áhuga",NA,"Frekar illa","Björt framtíð"
"51","Karl",40,6,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"52","Karl",18,5,"Lítinn áhuga","Fáum","Frekar illa",NA
"53","Kona",96,7,"Engan áhuga","Sumum",NA,"Kaus ekki"
"54","Kona",89,6,"Lítinn áhuga",NA,NA,NA
"55","Kona",18,4,"Lítinn áhuga",NA,NA,NA
"56","Kona",83,7,"Nokkurn áhuga",NA,NA,"Kaus ekki"
"57","Kona",40,2,"Lítinn áhuga",NA,"Frekar vel",NA
"58","Kona",36,6,"Mikinn áhuga",NA,NA,NA
"59","Kona",62,7,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"60","Karl",37,2,"Lítinn áhuga",NA,"Frekar illa","Dögun"
"61","Karl",20,4,"Nokkurn áhuga","Fáum",NA,NA
"62","Karl",19,1,"Engan áhuga",NA,"Frekar vel",NA
"63","Karl",84,4,"Lítinn áhuga",NA,"Frekar vel",NA
"64","Karl",22,7,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"65","Kona",65,4,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"66","Kona",35,6,"Nokkurn áhuga",NA,"Frekar illa",NA
"67","Karl",50,5,"Nokkurn áhuga","Sumum","Frekar illa","Píratar"
"68","Karl",23,2,"Lítinn áhuga",NA,"Frekar illa","Björt framtíð"
"69","Kona",43,4,"Engan áhuga","Fáum","Frekar vel",NA
"70","Kona",20,5,"Lítinn áhuga","Fáum","Frekar vel",NA
"71","Karl",19,4,"Engan áhuga","Fáum","Mjög illa",NA
"72","Kona",21,6,"Lítinn áhuga","Sumum","Frekar vel","Kaus ekki"
"73","Karl",24,7,"Nokkurn áhuga","Fáum",NA,"Kaus ekki"
"74","Karl",24,5,"Lítinn áhuga","Fáum","Frekar vel",NA
"75","Karl",18,1,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"76","Karl",42,5,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"77","Kona",25,4,"Lítinn áhuga","Fáum","Frekar illa","Sjálfstæðisflokkurinn"
"78","Kona",65,1,"Lítinn áhuga",NA,NA,"Kaus ekki"
"79","Karl",28,5,"Engan áhuga",NA,NA,NA
"80","Kona",20,5,"Lítinn áhuga","Sumum","Frekar vel","Björt framtíð"
"81","Karl",19,4,"Mikinn áhuga"," Mörgum",NA,NA
"82","Karl",20,1,"Lítinn áhuga","Sumum","Frekar illa","Kaus ekki"
"83","Karl",70,5,"Mjög mikinn áhuga",NA,NA,"Sjálfstæðisflokkurinn"
"84","Karl",45,5,"Nokkurn áhuga",NA,"Frekar illa",NA
"85","Kona",20,5,"Lítinn áhuga",NA,NA,"Kaus ekki"
"86","Kona",47,4,"Lítinn áhuga",NA,"Frekar vel",NA
"87","Kona",19,1,"Nokkurn áhuga","Sumum","Mjög illa","Dögun"
"88","Karl",66,5,"Mikinn áhuga",NA,"Frekar illa","Viðreisn"
"89","Kona",23,6,"Nokkurn áhuga",NA,"Frekar illa","Viðreisn"
"90","Kona",23,1,"Engan áhuga","Sumum",NA,"Vinstrihreyfingin grænt framboð"
"91","Kona",18,6,"Lítinn áhuga","Sumum","Frekar vel",NA
"92","Karl",36,5,"Engan áhuga",NA,NA,NA
"93","Kona",41,6,"Lítinn áhuga",NA,"Frekar illa","Píratar"
"94","Kona",27,7,"Engan áhuga","Fáum","Frekar vel","Sjálfstæðisflokkurinn"
"95","Kona",22,4,"Nokkurn áhuga","Fáum","Frekar illa","Sjálfstæðisflokkurinn"
"96","Kona",35,7,"Lítinn áhuga",NA,"Frekar vel","Viðreisn"
"97","Kona",79,2,"Engan áhuga","Fáum","Frekar vel",NA
"98","Karl",18,4,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"99","Kona",75,2,"Lítinn áhuga","Sumum","Frekar illa","Framsóknarflokkurinn"
"100","Karl",47,6,"Lítinn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"101","Kona",24,1,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"102","Kona",56,6,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"103","Kona",34,6,"Lítinn áhuga","Fáum",NA,"Vinstrihreyfingin grænt framboð"
"104","Kona",63,2,"Nokkurn áhuga",NA,"Frekar illa",NA
"105","Kona",30,5,"Lítinn áhuga",NA,"Mjög illa","Píratar"
"106","Karl",55,4,"Lítinn áhuga","Sumum","Frekar vel","Kaus ekki"
"107","Karl",42,5,"Nokkurn áhuga","Sumum","Frekar vel","Björt framtíð"
"108","Karl",20,1,"Lítinn áhuga",NA,NA,"Kaus ekki"
"109","Kona",33,7,"Nokkurn áhuga","Sumum","Frekar illa","Björt framtíð"
"110","Kona",51,4,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"111","Kona",23,4,"Engan áhuga",NA,NA,NA
"112","Kona",18,5,"Lítinn áhuga",NA,"Mjög vel",NA
"113","Karl",39,5,"Lítinn áhuga","Fáum","Frekar vel","Dögun"
"114","Karl",39,5,"Engan áhuga","Fáum",NA,NA
"115","Kona",49,5,"Engan áhuga",NA,"Frekar vel","Kaus ekki"
"116","Karl",23,1,"Lítinn áhuga",NA,"Frekar illa","Kaus ekki"
"117","Karl",21,7,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"118","Kona",24,1,"Engan áhuga",NA,"Mjög illa","Kaus ekki"
"119","Karl",39,7,"Engan áhuga","Engum","Frekar vel","Kaus ekki"
"120","Kona",83,1,"Lítinn áhuga",NA,NA,"Framsóknarflokkurinn"
"121","Karl",27,1,"Nokkurn áhuga"," Mörgum","Frekar illa","Viðreisn"
"122","Karl",44,2,"Lítinn áhuga"," Mörgum","Frekar vel",NA
"123","Karl",19,1,"Nokkurn áhuga","Sumum","Frekar vel","Kaus ekki"
"124","Karl",26,6,"Lítinn áhuga","Sumum","Frekar illa","Kaus ekki"
"125","Kona",68,5,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"126","Kona",21,1,"Nokkurn áhuga","Fáum","Frekar illa","Kaus ekki"
"127","Karl",48,5,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"128","Kona",19,6,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"129","Kona",73,5,"Lítinn áhuga",NA,"Frekar illa","Samfylkingin"
"130","Kona",34,4,"Lítinn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"131","Kona",49,6,"Lítinn áhuga","Sumum","Frekar illa","Kaus ekki"
"132","Kona",52,6,"Lítinn áhuga","Sumum","Frekar vel",NA
"133","Kona",53,6,"Lítinn áhuga","Fáum","Frekar illa",NA
"134","Karl",71,5,"Nokkurn áhuga",NA,"Frekar illa",NA
"135","Kona",33,5,"Lítinn áhuga",NA,"Frekar vel",NA
"136","Karl",63,5,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"137","Karl",29,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"138","Kona",64,1,"Engan áhuga",NA,NA,NA
"139","Karl",25,7,"Lítinn áhuga","Sumum","Frekar vel","Viðreisn"
"140","Karl",54,1,"Lítinn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"141","Kona",20,5,"Lítinn áhuga",NA,NA,NA
"142","Karl",24,4,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"143","Karl",21,4,"Nokkurn áhuga",NA,NA,NA
"144","Karl",22,4,"Lítinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"145","Kona",61,2,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"146","Karl",39,7,"Lítinn áhuga","Fáum","Frekar illa","Sjálfstæðisflokkurinn"
"147","Karl",47,6,"Nokkurn áhuga","Sumum","Frekar vel","Samfylkingin"
"148","Kona",36,2,"Engan áhuga",NA,NA,"Framsóknarflokkurinn"
"149","Karl",24,7,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"150","Karl",23,1,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"151","Kona",78,7,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"152","Kona",84,7,"Nokkurn áhuga"," Mörgum","Mjög vel","Sjálfstæðisflokkurinn"
"153","Kona",18,7,"Engan áhuga","Sumum","Frekar vel",NA
"154","Kona",72,7,"Mjög mikinn áhuga",NA,"Mjög vel","Sjálfstæðisflokkurinn"
"155","Karl",24,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Píratar"
"156","Karl",54,4,"Nokkurn áhuga","Engum","Frekar illa","Sjálfstæðisflokkurinn"
"157","Karl",77,7,"Nokkurn áhuga","Yfirleitt","Frekar illa",NA
"158","Kona",22,1,"Nokkurn áhuga","Fáum","Mjög illa","Píratar"
"159","Kona",62,2,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"160","Karl",18,2,"Lítinn áhuga"," Mörgum","Mjög vel","Kaus ekki"
"161","Kona",18,2,"Lítinn áhuga",NA,"Frekar illa","Kaus ekki"
"162","Kona",18,5,"Lítinn áhuga",NA,"Frekar vel",NA
"163","Karl",28,5,"Engan áhuga","Fáum",NA,"Kaus ekki"
"164","Kona",76,1,"Nokkurn áhuga","Engum",NA,NA
"165","Kona",43,1,"Nokkurn áhuga",NA,"Frekar vel","Dögun"
"166","Karl",32,6,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"167","Karl",18,2,"Lítinn áhuga",NA,NA,"Kaus ekki"
"168","Karl",52,5,"Nokkurn áhuga"," Mörgum","Frekar vel","Framsóknarflokkurinn"
"169","Kona",77,7,"Lítinn áhuga","Sumum",NA,NA
"170","Karl",20,2,"Lítinn áhuga","Sumum",NA,NA
"171","Karl",18,5,"Nokkurn áhuga",NA,"Frekar illa",NA
"172","Kona",52,4,"Mikinn áhuga",NA,"Mjög vel","Sjálfstæðisflokkurinn"
"173","Karl",33,2,"Mikinn áhuga",NA,"Frekar illa","Björt framtíð"
"174","Kona",81,4,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"175","Kona",31,5,"Lítinn áhuga","Fáum","Frekar illa",NA
"176","Kona",21,4,"Lítinn áhuga","Engum","Frekar illa","Kaus ekki"
"177","Karl",34,7,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"178","Karl",23,4,"Nokkurn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"179","Kona",26,4,"Lítinn áhuga",NA,"Frekar vel",NA
"180","Kona",80,5,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"181","Karl",32,1,"Engan áhuga",NA,NA,NA
"182","Kona",92,4,"Nokkurn áhuga",NA,"Frekar vel",NA
"183","Karl",18,2,"Lítinn áhuga","Yfirleitt","Frekar vel",NA
"184","Karl",18,2,"Engan áhuga",NA,"Frekar illa","Kaus ekki"
"185","Karl",24,2,"Engan áhuga","Fáum","Frekar vel","Píratar"
"186","Kona",32,1,"Lítinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"187","Kona",61,2,"Lítinn áhuga",NA,"Frekar illa",NA
"188","Karl",23,4,"Mjög mikinn áhuga","Yfirleitt",NA,"Sjálfstæðisflokkurinn"
"189","Karl",26,5,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"190","Kona",25,6,"Nokkurn áhuga",NA,"Frekar vel",NA
"191","Kona",60,4,"Lítinn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"192","Kona",19,4,"Lítinn áhuga",NA,"Frekar illa","Björt framtíð"
"193","Kona",38,7,"Engan áhuga","Sumum","Mjög vel",NA
"194","Kona",19,5,"Nokkurn áhuga","Engum","Mjög illa","Píratar"
"195","Karl",65,6,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"196","Karl",31,6,"Lítinn áhuga",NA,NA,NA
"197","Karl",54,5,"Lítinn áhuga",NA,"Frekar illa",NA
"198","Karl",45,5,"Engan áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"199","Karl",61,1,"Lítinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"200","Kona",43,7,"Engan áhuga","Fáum","Frekar illa",NA
"201","Kona",21,5,"Engan áhuga","Sumum","Frekar illa","Samfylkingin"
"202","Kona",57,2,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"203","Kona",39,4,"Engan áhuga",NA,"Mjög illa","Kaus ekki"
"204","Kona",77,1,"Nokkurn áhuga","Fáum","Frekar illa",NA
"205","Karl",19,1,"Nokkurn áhuga","Sumum","Frekar vel","Kaus ekki"
"206","Kona",21,7,"Lítinn áhuga",NA,"Frekar illa",NA
"207","Kona",57,6,"Lítinn áhuga",NA,"Frekar illa","Píratar"
"208","Kona",48,4,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"209","Kona",25,7,"Nokkurn áhuga",NA,NA,"Píratar"
"210","Kona",38,7,"Nokkurn áhuga",NA,NA,"Kaus ekki"
"211","Kona",77,5,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"212","Kona",84,2,"Lítinn áhuga","Fáum","Frekar illa",NA
"213","Karl",18,1,"Lítinn áhuga"," Mörgum",NA,"Kaus ekki"
"214","Karl",53,1,"Lítinn áhuga","Fáum","Frekar illa",NA
"215","Karl",54,NA,"Engan áhuga",NA,NA,"Kaus ekki"
"216","Kona",34,7,"Nokkurn áhuga",NA,NA,"Björt framtíð"
"217","Karl",46,2,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"218","Kona",44,4,"Nokkurn áhuga","Sumum",NA,"Framsóknarflokkurinn"
"219","Karl",61,4,"Lítinn áhuga","Fáum","Frekar illa","Framsóknarflokkurinn"
"220","Karl",57,6,"Lítinn áhuga","Fáum","Frekar illa",NA
"221","Karl",55,4,"Mikinn áhuga","Sumum","Frekar vel",NA
"222","Karl",31,7,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"223","Karl",58,4,"Lítinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"224","Kona",59,6,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"225","Karl",27,6,"Lítinn áhuga",NA,NA,"Kaus ekki"
"226","Kona",56,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Samfylkingin"
"227","Kona",32,1,"Lítinn áhuga",NA,NA,"Dögun"
"228","Karl",58,6,"Nokkurn áhuga","Sumum","Frekar illa","Viðreisn"
"229","Karl",52,5,"Nokkurn áhuga","Sumum","Frekar illa",NA
"230","Kona",62,4,"Nokkurn áhuga","Sumum",NA,NA
"231","Karl",49,7,"Engan áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"232","Karl",58,6,"Nokkurn áhuga","Sumum","Frekar illa","Viðreisn"
"233","Kona",47,4,"Nokkurn áhuga"," Mörgum",NA,NA
"234","Karl",55,1,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"235","Karl",32,7,"Lítinn áhuga","Fáum","Frekar illa","Kaus ekki"
"236","Karl",70,6,"Lítinn áhuga","Fáum","Frekar illa","Framsóknarflokkurinn"
"237","Karl",70,5,"Lítinn áhuga"," Mörgum","Frekar illa",NA
"238","Kona",55,1,"Lítinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"239","Kona",72,1,"Mikinn áhuga","Sumum","Frekar illa",NA
"240","Kona",52,5,"Lítinn áhuga","Fáum",NA,NA
"241","Karl",45,1,"Nokkurn áhuga","Sumum","Mjög illa","Vinstrihreyfingin grænt framboð"
"242","Karl",30,2,"Engan áhuga","Engum",NA,NA
"243","Karl",71,4,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"244","Kona",21,5,"Lítinn áhuga","Sumum",NA,NA
"245","Kona",35,2,"Lítinn áhuga","Sumum",NA,NA
"246","Karl",48,6,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"247","Karl",32,7,"Lítinn áhuga","Fáum","Frekar illa","Kaus ekki"
"248","Karl",88,7,"Engan áhuga",NA,NA,NA
"249","Karl",18,7,"Nokkurn áhuga",NA,"Frekar illa",NA
"250","Karl",42,1,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"251","Karl",19,6,"Nokkurn áhuga",NA,"Frekar illa",NA
"252","Kona",52,6,"Lítinn áhuga",NA,"Frekar vel","Samfylkingin"
"253","Kona",83,5,"Nokkurn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"254","Kona",18,5,"Engan áhuga","Sumum","Frekar illa",NA
"255","Karl",18,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Kaus ekki"
"256","Karl",24,4,"Nokkurn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"257","Kona",25,6,"Nokkurn áhuga"," Mörgum","Frekar vel","Vinstrihreyfingin grænt framboð"
"258","Karl",24,1,"Nokkurn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"259","Kona",35,1,"Lítinn áhuga","Sumum","Frekar vel","Framsóknarflokkurinn"
"260","Kona",75,4,"Mikinn áhuga","Fáum","Frekar illa","Flokkur fólksins"
"261","Karl",22,5,"Engan áhuga",NA,"Frekar illa","Samfylkingin"
"262","Karl",31,7,"Mikinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"263","Kona",20,6,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"264","Karl",18,5,"Nokkurn áhuga","Sumum","Frekar illa",NA
"265","Karl",21,5,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"266","Karl",57,2,"Mikinn áhuga","Sumum","Mjög illa",NA
"267","Karl",46,1,"Lítinn áhuga",NA,"Frekar illa","Píratar"
"268","Karl",36,1,"Lítinn áhuga","Sumum","Frekar vel","Viðreisn"
"269","Karl",87,2,"Nokkurn áhuga",NA,"Frekar illa","Flokkur fólksins"
"270","Karl",23,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"271","Karl",29,7,"Nokkurn áhuga","Sumum","Frekar illa",NA
"272","Karl",18,5,"Engan áhuga","Fáum","Mjög vel","Kaus ekki"
"273","Kona",54,1,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"274","Karl",19,2,"Nokkurn áhuga","Sumum","Frekar vel","Alþýðufylkingin"
"275","Karl",46,5,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"276","Kona",27,4,"Lítinn áhuga","Fáum","Frekar illa","Framsóknarflokkurinn"
"277","Karl",45,5,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"278","Karl",41,6,"Mjög mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"279","Karl",51,6,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"280","Karl",71,7,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"281","Kona",24,4,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"282","Kona",19,5,"Nokkurn áhuga"," Mörgum","Frekar vel","Framsóknarflokkurinn"
"283","Karl",37,1,"Mikinn áhuga","Yfirleitt","Frekar illa","Björt framtíð"
"284","Kona",37,5,"Engan áhuga",NA,"Frekar vel","Viðreisn"
"285","Kona",18,6,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"286","Kona",79,5,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"287","Kona",69,4,"Engan áhuga","Fáum",NA,NA
"288","Karl",34,7,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"289","Kona",53,7,"Lítinn áhuga",NA,"Frekar vel",NA
"290","Karl",36,1,"Engan áhuga","Engum","Mjög illa","Kaus ekki"
"291","Kona",29,6,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"292","Karl",81,5,"Lítinn áhuga","Sumum","Frekar vel","Samfylkingin"
"293","Karl",51,7,"Nokkurn áhuga",NA,NA,NA
"294","Karl",25,5,"Lítinn áhuga",NA,"Frekar illa","Viðreisn"
"295","Kona",18,5,"Engan áhuga","Fáum","Frekar vel","Kaus ekki"
"296","Kona",19,6,"Lítinn áhuga",NA,"Frekar illa",NA
"297","Kona",67,6,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"298","Karl",24,2,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"299","Karl",32,2,"Nokkurn áhuga",NA,"Frekar vel",NA
"300","Kona",38,5,"Lítinn áhuga","Sumum",NA,NA
"301","Karl",74,2,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"302","Kona",19,6,"Lítinn áhuga","Sumum",NA,NA
"303","Kona",60,5,"Lítinn áhuga",NA,"Frekar illa",NA
"304","Kona",61,2,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"305","Karl",86,4,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"306","Karl",22,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"307","Karl",87,7,"Lítinn áhuga",NA,"Frekar vel","Píratar"
"308","Karl",36,5,"Nokkurn áhuga"," Mörgum","Frekar vel","Viðreisn"
"309","Karl",52,6,"Nokkurn áhuga",NA,"Frekar illa","Viðreisn"
"310","Karl",55,5,"Lítinn áhuga",NA,"Frekar illa","Flokkur fólksins"
"311","Kona",61,2,"Nokkurn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"312","Kona",34,6,"Lítinn áhuga"," Mörgum","Frekar illa","Framsóknarflokkurinn"
"313","Kona",19,6,"Lítinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"314","Karl",35,5,"Nokkurn áhuga",NA,"Frekar illa","Viðreisn"
"315","Kona",53,5,"Mikinn áhuga"," Mörgum","Frekar illa","Samfylkingin"
"316","Kona",18,7,"Nokkurn áhuga",NA,"Frekar vel",NA
"317","Karl",25,1,"Nokkurn áhuga","Sumum","Frekar illa","Píratar"
"318","Karl",20,5,"Nokkurn áhuga"," Mörgum",NA,"Píratar"
"319","Kona",50,5,"Nokkurn áhuga"," Mörgum","Frekar illa","Björt framtíð"
"320","Karl",58,7,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"321","Kona",89,1,"Nokkurn áhuga",NA,"Frekar vel",NA
"322","Karl",55,2,"Lítinn áhuga"," Mörgum","Frekar vel",NA
"323","Karl",60,4,"Lítinn áhuga","Sumum","Frekar vel","Flokkur fólksins"
"324","Kona",34,2,"Mjög mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"325","Karl",47,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"326","Karl",20,1,"Nokkurn áhuga","Fáum","Frekar vel","Kaus ekki"
"327","Karl",46,6,"Mjög mikinn áhuga",NA,"Mjög illa","Samfylkingin"
"328","Kona",59,2,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"329","Kona",60,5,"Mikinn áhuga"," Mörgum","Frekar illa",NA
"330","Karl",18,5,"Nokkurn áhuga","Fáum","Mjög illa",NA
